,Name,Notes,category
178,Black Amber perfume oil,"['tunisian amber', 'vanilla', 'hint of patchouli']",SPICES
179,She Came to Stay Eau de Parfum,"['geranium', 'basil', 'lemon', 'indonesian clove', 'nutmeg', 'patchouli', 'vetiver', 'labdanum', 'oakmoss', 'cedarwood.']","WOODS MOSSES,SPICES,CITRUS,FLOWERS,GREENS HERBS FOUGERES,RESINS BALSAMS"
180,L'homme de Coeur Eau de Parfum,"['angelica', 'juniper berries', 'cypress', 'iris', 'vetiver', 'ambergris', 'wild vanilla']","GREENS HERBS FOUGERES,WOODS MOSSES,FLOWERS,MUSK AMBER ANIMALIC"
181,L'Homme Sage Eau de Parfum,"['saffron', 'mandarin', 'cardamom', 'lychee', 'aromatic woods', 'immortelle (or everlasting flower)', 'patchouli', 'oak moss', 'amber', 'incense']","SPICES,WOODS MOSSES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
182,L'Etre Aime - Homme Eau de Parfum,"['bergamot', 'lavender', 'ginger', 'basil', 'cardamom', 'everlasting flower', 'cistus', 'sandalwood', 'vetiver', 'patchouli']","WOODS MOSSES,SPICES,CITRUS,FLOWERS,GREENS HERBS FOUGERES"
183,Augusto Eau de Parfum,"['bergamot', 'sweet orange', 'mint', 'rosewood', 'geranium', 'lavender', 'vetiver', 'amber', 'sandalwood.']","WOODS MOSSES,CITRUS,FLOWERS,GREENS HERBS FOUGERES,MUSK AMBER ANIMALIC"
184,Le Rose Eau de Parfum,"['rose', 'indian sandalwood', 'musk.']","WOODS MOSSES,FLOWERS"
185,Pichola Eau de Parfum,"['cardamom', 'cinnamon', 'saffron', 'juniper', 'magnolia', 'neroli oil', 'clementine', 'bergamot', 'orange blossom absolute', 'rose absolute', 'tuberose absolute', 'jasmine sambac', 'ylang-ylang', 'benzoin absolute', 'sandalwood', 'driftwood', 'vetiver from haiti.']","WOODS MOSSES,SPICES,CITRUS,FLOWERS,GREENS HERBS FOUGERES"
186,O/E Eau de Parfum,"['bergamot', 'grapefruit', 'lemon', 'neroli', 'clove', 'black pepper', 'rosemary', 'thyme', 'camphor', 'lebanon cedar', 'juniper', 'pine', 'cypress', 'rose', 'jasmine', 'vetiver', 'benzoin', 'tobacco', 'resins', 'sandalwood']","WOODS MOSSES,WHITE FLOWERS,SPICES,CITRUS,NATURAL SYNTHETIC POPULAR WEIRD,FLOWERS,GREENS HERBS FOUGERES,RESINS BALSAMS"
187,Asphalt Rainbow Scratch & Sniff Sticker Set,"['rose absolute', 'rose fragments', 'spray paint (aerosols)', 'galbanum', 'lily of the valley', 'lychee', 'ylang', 'saffron', 'magnolia', 'leather', 'cistus', 'asphalt', 'detritus', 'patchouli', 'wood', 'amber']","WOODS MOSSES,SPICES,NATURAL SYNTHETIC POPULAR WEIRD,FLOWERS,GREENS HERBS FOUGERES,MUSK AMBER ANIMALIC"
188,Asphalt Rainbow Eau de Parfum,"['rose absolute', 'rose fragments', 'galbanum', 'lily of the valley', 'lychee', 'ylang', 'saffron', 'magnolia', 'leather', 'cistus', 'asphalt', 'patchouli', 'wood', 'amber']","WOODS MOSSES,SPICES,NATURAL SYNTHETIC POPULAR WEIRD,FLOWERS,GREENS HERBS FOUGERES,MUSK AMBER ANIMALIC"
