,Name,Notes,category
468,Cigar Rum Intense Extrait de Parfum,"['raisin', 'coffee', 'copaiba', 'cinnamon', 'dried fruits (prune and cherry)', 'rum absolute', 'mandarin', 'amber', 'tobacco', 'oakwood', 'vetiver', 'resins', 'labdanum absolute', 'tea rose', 'leather', 'seaweed absolute']","WOODS MOSSES,SPICES,GREENS HERBS FOUGERES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
469,Oliver Eau de Parfum,"['bitter orange', 'mojito', 'grapefruit', 'bergamot', 'apricot', 'quince', 'petitgrain', 'mandarin', 'fig', 'clary sage', 'cypress', 'magnolia', 'orris concrete', 'basil', 'rose de mai', 'orange flower', 'pink pepper', 'coriander', 'leather', 'tobacco', 'ambergris', 'patchouli', 'vetiver', 'ambrette seed', 'oakmoss', 'grape leaves', 'grass', 'sandalwood', 'sea salt', 'linden', 'mahogany', 'mastic', 'olive', 'clean shirt (blue billowy)']","WOODS MOSSES,FRUITS VEGETABLES NUTS,BEVERAGES,SPICES,CITRUS,FLOWERS,GREENS HERBS FOUGERES,MUSK AMBER ANIMALIC"
470,Lumberjack Cologne Eau de Parfum,"['lemon', 'bergamot', 'grapefruit', 'mandarin', 'orris butter', 'guaiacwood', 'motor oil', 'soap', 'cedar', 'oak', 'sycamore', 'leather', 'moss']","NATURAL SYNTHETIC POPULAR WEIRD,WOODS MOSSES,CITRUS,MUSK AMBER ANIMALIC"
471,Sangre Dulce Eau de Parfum,"['sangria', 'rose water', 'strawberry', 'brown sugar', 'honey', 'cinnamon', 'tobacco', 'pomegranate', 'ylang ylang', 'benzoin', 'peru balsam', 'maple syrup', 'civet', 'patchouli', 'blood orange']","WOODS MOSSES,FRUITS VEGETABLES NUTS,BEVERAGES,SPICES,SWEETS GOURMAND,CITRUS,FLOWERS,GREENS HERBS FOUGERES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
472,Mandarava Extrait de Parfum,"['bodhi tree', 'borneol', 'jasmine sambac', 'himalayan champaca', 'madagascar ylang ylang', 'indian marigold', 'frankincense', 'myrrh', 'styrax', 'rose', 'lotus', 'cinnamon', 'civet', 'nagamortha', 'ruh khus', 'ebony', 'mysore sandalwood', 'assamese oud (hindi)', 'indonesian patchouli', 'oakmoss', 'gardenia', 'coriander', 'tolu', 'siamese benzoin', 'aldehyde', 'cumin seed', 'amber', 'tuberose', 'ash']","WOODS MOSSES,WHITE FLOWERS,SPICES,NATURAL SYNTHETIC POPULAR WEIRD,FLOWERS,GREENS HERBS FOUGERES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
473,Ma Nishtana Extrait de Parfum,"['saffron', 'amber', 'aldehyde', 'frankincense', 'myrrh', 'styrax', 'rose', 'nutmeg', 'pink pepper', 'caraway', 'black pepper', 'cardamom', 'cumin', 'labdanum', 'castoreum', 'sandalwood', 'patchouli', 'smoke', 'leather', 'norlimbanol', 'clove', 'allspice']","WOODS MOSSES,SPICES,NATURAL SYNTHETIC POPULAR WEIRD,FLOWERS,RESINS BALSAMS,MUSK AMBER ANIMALIC"
474,Thichila Eau de Parfum,"['saffron', 'borneol', 'kaffir lime', 'jasmine sambac', 'champaca', 'gardenia', 'indian tuberose', 'myrrh', 'incense', 'amber', 'styrax', 'rose', 'turmeric', 'spikenard', 'nutmeg', 'civet', 'thai oud', 'mysore sandalwood', 'indonesian vetiver', 'cinnamon bark', 'wan sao lhong ( amomum biflorum jack)']","WOODS MOSSES,WHITE FLOWERS,SPICES,CITRUS,FLOWERS,GREENS HERBS FOUGERES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
475,Mohragot Eau de Parfum,"['betel leaf', 'chalood bark', 'pandan leaf', 'lime', 'jasmine sambac', 'marigold', 'frangipani', 'canaga', 'incense', 'myrrh', 'benzoin', 'clove', 'rosewood', 'cinnamon', 'thai oud', 'sandalwood', 'thai vetiver', 'oakmoss']","WOODS MOSSES,WHITE FLOWERS,SPICES,CITRUS,GREENS HERBS FOUGERES,RESINS BALSAMS"
476,Tiwa Eau de Parfum,"['tangerine', 'kaffir limes', 'orange flower absolute', 'petitgrain', 'holy basil', 'cananga', 'finger root oil', 'indonesian patchouli', 'guava leaf', 'lime', 'celery seed', 'vetiver', 'australian sandalwood']","WOODS MOSSES,CITRUS,FLOWERS"
477,Tom Yum Eau de Parfum,"['lime', 'kaffir lime leaf', 'lemongrass', 'petitgrain', 'jasmine absolute', 'galangal', 'coriander', 'patchouli', 'grapefruit', 'lemon', 'chalood bark']","SPICES,WOODS MOSSES,CITRUS"
478,Natsumeku Eau de Parfum,"['camphor', 'yuzu', 'hinoki', 'orange bitter', 'mandarin', 'lavender', 'neroli', 'orris butter', 'rose otto', 'oakmoss', 'artemisia', 'bergamot', 'tangerine', 'palo santo']","WOODS MOSSES,NATURAL SYNTHETIC POPULAR WEIRD,FLOWERS,CITRUS,GREENS HERBS FOUGERES"
479,Maruyama Eau de Parfum,"['chamomile', 'camphor', 'artemisia', 'marjoram', 'incense', 'rose otto', 'angelica', 'jatamansi', 'amyris', 'ambrette seed', 'cedarwood', 'vetiver', 'lovage  root']","WOODS MOSSES,NATURAL SYNTHETIC POPULAR WEIRD,FLOWERS,GREENS HERBS FOUGERES,RESINS BALSAMS"
480,If by RK Eau de Parfum,"['ginger', 'pepper', 'bergamot', 'fig milk', 'cinnamon', 'cashmere wood', 'sandalwood', 'patchouli', 'guaiac', 'tonka bean']","SPICES,WOODS MOSSES,CITRUS"
481,Musc Moschus Eau De Parfum,"['bergamot', 'strawberry', 'blackcurrant', 'sandalwood', 'iris', 'vanilla', 'cashmeran', 'white musks']","WOODS MOSSES,FRUITS VEGETABLES NUTS,SPICES,CITRUS,FLOWERS,NATURAL SYNTHETIC POPULAR WEIRD,MUSK AMBER ANIMALIC"
482,War and Peace II Extrait de Parfum,"['amber resin', 'smoky incense', 'rose', 'leathery', 'balsamic', 'chocolaty', 'patchouli']","WOODS MOSSES,FLOWERS"
483,Ummo Eau de Parfum,"['virginia tobacco', 'jasmine tobacco', 'styrax', 'tonka bean', 'juniper']","GREENS HERBS FOUGERES,SPICES,RESINS BALSAMS"
484,What About Pop Eau de Parfum,"['salty popcorn', 'hawthorn', 'caramel', 'lunar flower', 'milk cream', 'exavanilla', 'amber', 'ebony', 'vetyver', 'benzoin']","SWEETS GOURMAND,RESINS BALSAMS,FLOWERS,MUSK AMBER ANIMALIC"
485,Dendera Extrait de Parfum,"['cinnamon', 'nutmeg', 'orris butter', 'bulgarian rose absolute', 'frankincense', 'myrrh', 'labdanum', 'east indian sandalwood', 'vietnamese oud', 'haitian vetiver', 'madagascan vanilla absolute & white ambergris tincture.']","SPICES,WOODS MOSSES,RESINS BALSAMS"
486,Gaea Eau de Parfum,"['green leaves', 'dry earth', 'honey', 'tuberose', 'rose', 'lavender', 'orris butter', 'apple', 'cedarwood', 'wormwood', 'patchouli', 'ambrette musk', '& ambergris.']","WOODS MOSSES,FRUITS VEGETABLES NUTS,WHITE FLOWERS,SWEETS GOURMAND,FLOWERS,GREENS HERBS FOUGERES"
487,Mile High Eau de Parfum,"['immortelle', 'tonka', 'patchouli', 'pineapple']","GREENS HERBS FOUGERES,WOODS MOSSES,FRUITS VEGETABLES NUTS"
488,Milano Cento Deodorant Stick,"['lemon', 'bergamot', 'petitgrain', 'lavender', 'rosemary', 'basil', 'clary sage', 'sandalwood', 'patchouli', 'clove', 'cinnamon', 'amber', 'musk']","WOODS MOSSES,SPICES,CITRUS,FLOWERS,GREENS HERBS FOUGERES,MUSK AMBER ANIMALIC"
489,Telegrama Eau de Parfum,"['talc', 'lavender', 'black pepper', 'teak', 'amyris', 'vanilla powder', 'fresh linen']","WOODS MOSSES,NATURAL SYNTHETIC POPULAR WEIRD,FLOWERS"
490,Koiame Eau de Parfum,"['apple', 'peach', 'bergamot', 'mandarin', 'lemon', 'cassis', 'green notes', 'rose', 'jasmine', 'magnolia', 'violet', 'water lily', 'musk', 'cedar', 'moss']","WOODS MOSSES,FRUITS VEGETABLES NUTS,WHITE FLOWERS,CITRUS,FLOWERS,GREENS HERBS FOUGERES,MUSK AMBER ANIMALIC"
491,Hakka Eau de Parfum,"['bergamot', 'mint', 'green leaves', 'jasmine', 'lily', 'iris', 'lotus', 'musk', 'amber', 'cedar']","WOODS MOSSES,WHITE FLOWERS,CITRUS,FLOWERS,GREENS HERBS FOUGERES,MUSK AMBER ANIMALIC"
492,Wood Flake Eau de Parfum,"['hinoki cypress', 'cedar', 'rose', 'vetiver', 'sandalwood', 'gaiac', 'musk', 'vanilla']","SPICES,WOODS MOSSES,FLOWERS,MUSK AMBER ANIMALIC"
493,Divine Vanille Eau de Parfum,"['clary sage', 'cinnamon', 'black pepper', 'osmanthus', 'incense', 'pomarose', 'vanilla', 'tonka', 'benzoin', 'cedar', 'musk', 'patchouli']","WOODS MOSSES,SPICES,NATURAL SYNTHETIC POPULAR WEIRD,FLOWERS,GREENS HERBS FOUGERES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
494,Acqua di Scandola Eau de Parfum,"['algae extract', 'juniper', 'immortelle', 'moss']",GREENS HERBS FOUGERES
495,Bee Extrait de Parfum,"['orange', 'ginger syrup', 'royal jelly accord', 'broom', 'heliotrope', 'mimosa', 'orange flower', 'benzoin', 'labdanum', 'musks', 'sandalwood', 'tonka', 'vanilla']","WOODS MOSSES,SPICES,CITRUS,FLOWERS,RESINS BALSAMS,MUSK AMBER ANIMALIC"
496,Majaina Sin Eau de Parfum,"['candied orange', 'bigarade', 'bergamot', 'neroli', 'orange blossom', 'ginger', 'heliotrope', 'orchid', 'chestnut cream', 'cinnamon', 'maple syrup', 'tonka', 'amber', 'sandalwood', 'musk', 'vanilla']","WOODS MOSSES,WHITE FLOWERS,SPICES,SWEETS GOURMAND,CITRUS,FLOWERS,MUSK AMBER ANIMALIC"
497,Mxxx. Extrait de Parfum,"['madagascan blue ginger', 'mace co2 extraction', 'saffron', 'ethiopian olibanum', 'pink peppercorn', 'trinidad cacao', 'virginia cedarwood', 'sandalwood', 'haitian vetiver', 'indonesian patchouli', 'laotian benzoin', 'castoreum', '7% natural ambergris', ""pierre d'afrique (hyraceum)"", 'madagascan green vanilla. note: no animals were involved or harmed in harvesting these animalics. eris never uses animal testing.']","SPICES,WOODS MOSSES,FLOWERS,MUSK AMBER ANIMALIC"
498,Meraki Eau de Parfum,"['aldehydes', 'bergamot', 'apricot', 'ambergris', 'peach', 'coriander', 'rose', 'osmanthus', 'honey', 'jasmine', 'cedarwood', 'musk', 'sandalwood', 'patchouli']","WOODS MOSSES,FRUITS VEGETABLES NUTS,WHITE FLOWERS,SPICES,SWEETS GOURMAND,NATURAL SYNTHETIC POPULAR WEIRD,CITRUS,FLOWERS,MUSK AMBER ANIMALIC"
499,Lust in Paradise X Reine Paradis Eau de Parfum,"['pink pepper', 'white peony', 'lychee', 'solar accord', 'white cedarwood', 'musk', 'amber', 'georgywood', 'ambergris accord']","SPICES,NATURAL SYNTHETIC POPULAR WEIRD,MUSK AMBER ANIMALIC"
500,Copper Eau de Parfum,"['pink pepper', 'galbanum', 'blackcurrant', 'ginger', 'violet leaf', 'tobacco', 'metallic notes', 'amber', 'vanilla', 'myrrh']","SPICES,NATURAL SYNTHETIC POPULAR WEIRD,GREENS HERBS FOUGERES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
501,Gold Extrait de Parfum,"['green mandarin', 'bergamot', 'pink peppercorn', 'rosemary', 'clove buds', 'jasmin absolute', 'ciste absolute', 'geranium', 'cinnamon', 'styrax', 'benzoin', 'myrrhe', 'patchouli', 'vanilla green beans', 'tonka beans', 'castoreum absolute', 'vetiver']","WOODS MOSSES,SPICES,CITRUS,FLOWERS,GREENS HERBS FOUGERES,RESINS BALSAMS"
502,Atlas Fever Eau de Parfum,"['pink pepper', 'incense', 'narcissus', 'cedarwood', 'sandalwood', 'tonka bean', 'vanilla', 'woody accord (gaiac', 'oakwood)']","SPICES,WOODS MOSSES,RESINS BALSAMS,FLOWERS"
503,Re-Charge Black Pepper Deodorant Stick,"['black pepper', 'lemon and ginger', 'coriander', 'basil and violet leaf', 'vetiver', 'oakmoss and ambergris']","SPICES,WOODS MOSSES"
504,Hedonist Absolute Eau de Parfum,"['jamaican rum', 'jasmine', 'orange flower', 'birch', 'tobacco', 'vanilla']","GREENS HERBS FOUGERES,SPICES,WOODS MOSSES,WHITE FLOWERS"
505,Hedonist Iris Absolute Eau de Parfum,"['iris', 'leather', 'cocoa beans', 'vanilla', 'amber', 'woods']","SPICES,WOODS MOSSES,FLOWERS,MUSK AMBER ANIMALIC"
506,Hedonist Rose Absolute Eau de Parfum,"['turkish rose', 'oud', 'amber', 'sandalwood']","WOODS MOSSES,FLOWERS,MUSK AMBER ANIMALIC"
507,Patchouli in Perfumery Magazine,"['warm', 'woody', 'patchouli']",WOODS MOSSES
508,Le Pavillon d'Or Eau de Parfum,"['mint', 'honeysuckle', 'orris', 'boronia', 'thyme', 'olibanum', 'heliotrope', 'fig leaf', 'oak', 'sandalwood']","WOODS MOSSES,FRUITS VEGETABLES NUTS,WHITE FLOWERS,FLOWERS,GREENS HERBS FOUGERES"
509,Les Annees 25 Bis Eau de Parfum,"['bergamot', 'lemon', 'orange', 'peach', 'rose', 'iris', 'ylang', 'benzoin', 'vetiver', 'patchouli', 'ambergris']","WOODS MOSSES,FRUITS VEGETABLES NUTS,CITRUS,FLOWERS,RESINS BALSAMS,MUSK AMBER ANIMALIC"
510,Odeur Du Theatre Du Chatelet Acte 1 Eau de Toilette,"['ambrette', 'black pepper', 'rose oxide', 'coffee', 'orange blossom', 'orris', 'cashmeran', 'cedar', 'musk']","WOODS MOSSES,WHITE FLOWERS,SPICES,NATURAL SYNTHETIC POPULAR WEIRD,MUSK AMBER ANIMALIC"
511,Zdravetz Eau de Parfum,"['grapefruit', 'bergamot', 'galbanum', 'rose', 'passionfruit', 'cedar', 'leather', 'vanilla', 'zdravetz herb.']","WOODS MOSSES,FRUITS VEGETABLES NUTS,SPICES,CITRUS,FLOWERS,GREENS HERBS FOUGERES,MUSK AMBER ANIMALIC"
512,Corpse Reviver Eau de Parfum,"['blood orange', 'camphor', 'whiskey', 'rosemary', 'marigold', 'dried fruit', 'anise', 'cypress', 'dark chocolate', 'vanilla', 'civet']","WOODS MOSSES,BEVERAGES,SPICES,SWEETS GOURMAND,NATURAL SYNTHETIC POPULAR WEIRD,CITRUS,GREENS HERBS FOUGERES,MUSK AMBER ANIMALIC"
513,Elysium Parfum Cologne,"['lemon', 'bergamot', 'litsea cubeba', 'rose de mai', 'jasmin de grasse', 'cistus', 'galbanum', 'celery seed', 'pink pepper', 'caraway', 'nutmeg', 'pepper', 'oakmoss', 'vetiver', 'cedarwood', 'cedar needles', 'guaiac wood', 'amyris', 'labdanum']","WOODS MOSSES,SPICES,CITRUS,GREENS HERBS FOUGERES,RESINS BALSAMS"
514,Creation-E Parfum Cologne,"['bergamot', 'geranium', 'rose de mai', 'neroli', 'jasmin de grasse', 'heliotrope', 'cardamom', 'ginger', 'pepper', 'patchouli', 'cognac', 'tobacco', 'sandalwood', 'benzoin', 'vanilla', 'ambergris']","WOODS MOSSES,BEVERAGES,SPICES,CITRUS,FLOWERS,GREENS HERBS FOUGERES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
515,Danger Parfum Cologne,"['lemon', 'bergamot', 'lavender', 'tarragon', 'lily of the valley', 'jasmin de grasse', 'violet', 'rhubarb', 'galbanum', 'clove', 'cumin', 'patchouli', 'oakmoss', 'wood notes', 'vetiver', 'cedarwood', 'vanilla', 'tonka bean', 'leather', 'ambergris', 'musk']","WOODS MOSSES,FRUITS VEGETABLES NUTS,SPICES,CITRUS,FLOWERS,GREENS HERBS FOUGERES,MUSK AMBER ANIMALIC"
516,Scandal Parfum Cologne,"['lemon', 'bergamot', 'petitgrain', 'spearmint', 'lavender', 'basil', 'tarragon', 'lily of the valley', 'rose de mai', 'jasmin de grasse', 'violet', 'rhubarb', 'cardamom', 'clove', 'nutmeg', 'moss', 'patchouli', 'vetiver', 'cedarwood', 'casmir wood', 'sandalwood', 'tonka bean', 'labdanum', 'ambergris', 'musk']","WOODS MOSSES,FRUITS VEGETABLES NUTS,SPICES,CITRUS,FLOWERS,GREENS HERBS FOUGERES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
517,Vetiver Parfum Cologne,"['lemon', 'bergamot', 'litsea cubeba', 'rose de mai', 'jasmin de grasse', 'cistus', 'galbanum', 'celery seed', 'pink pepper', 'caraway', 'nutmeg', 'pepper', 'oakmoss', 'vetiver', 'cedarwood', 'cedar needles', 'guaiac wood', 'amyris', 'labdanum']","WOODS MOSSES,SPICES,CITRUS,GREENS HERBS FOUGERES,RESINS BALSAMS"
518,La Capitale Parfum,"['strawberry', 'caramel', 'peach', 'labdanum', 'leather', 'saffron', 'ginger', 'rose', 'amber', 'benzoin', 'vanilla']","FRUITS VEGETABLES NUTS,SPICES,SWEETS GOURMAND,FLOWERS,RESINS BALSAMS,MUSK AMBER ANIMALIC"
519,SpeM PetraM Eau de Parfum,"['olibanum', 'cinnamon', 'bay leaf', 'saffron', 'fir balsam', 'cabreuva', 'rose', 'nard', 'musk', 'cedar']","SPICES,WOODS MOSSES,FLOWERS,MUSK AMBER ANIMALIC"
520,Oud Maximus Autumn 19 Extrait de Parfum,"['bergamot', 'sweet orange', 'pink pepper', 'jasmine sambac', 'cardamom', 'rose de mai', 'himalayan rose', 'indian rose', 'hybrid rose', 'attar gulab', 'magnolia', 'frangipani', 'clove', 'tonka bean', 'indian oud', 'oud roots trat', 'oud purple co chang (feel-oud)', 'oud from sri lanka (feel-oud)', 'birch tar', 'tolu balsam', 'vanilla', 'deer musk', 'civet']","WOODS MOSSES,WHITE FLOWERS,SPICES,CITRUS,FLOWERS,RESINS BALSAMS,MUSK AMBER ANIMALIC"
521,Vetiver Nocturne Autumn 19 Extrait de Parfum,"['bergamot', 'neroli', 'frangipani', 'cardamom', 'champaca', 'champaca leaf', 'jasmine', 'oakmoss', 'vetiver', 'ruh khus', 'myrrh', 'sandal 100k', 'indian sandalwood', 'sandal infusion (thai jasmine & white champaca)', 'oud trat', 'ambergris']","WOODS MOSSES,WHITE FLOWERS,SPICES,CITRUS,FLOWERS,RESINS BALSAMS,MUSK AMBER ANIMALIC"
522,Love Mimosa Eau de Parfum,"['violet leaves', 'cascalone', 'orris', 'mimosa', 'pear', 'paradisone', 'ylang ylang', 'ambrox', 'heliotrope']","FRUITS VEGETABLES NUTS,NATURAL SYNTHETIC POPULAR WEIRD,FLOWERS"
523,Female Christ Eau de Parfum,"['eucalyptus', 'patchouli', 'pimento', 'rhubarb', 'thyme', 'geranium', 'berries', 'vanilla', 'ambergris', 'benzoin', 'cinnamon', 'cashmere wood']","WOODS MOSSES,FRUITS VEGETABLES NUTS,SPICES,FLOWERS,GREENS HERBS FOUGERES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
524,Atomic Rose Eau de Parfum,"['bergamot', 'pink pepper', 'hedione', 'rose', 'jasmine', 'vanilla', 'ambrofix']","WHITE FLOWERS,SPICES,NATURAL SYNTHETIC POPULAR WEIRD,CITRUS,FLOWERS"
525,Mizunara Eau de Parfum,"['galbanum', 'rosemary', 'clary sage', 'lavender', 'cognac oil', 'juniper', 'cypress', 'patchouli', 'blue chamomile', 'labdanum', 'tulu balsam', 'sandalwood']","GREENS HERBS FOUGERES,WOODS MOSSES,RESINS BALSAMS,FLOWERS"
526,Fall Into Stars Eau de Parfum,"['daffodil', 'pink pepper', 'ginger', 'bergamot', 'saffron', 'rose', 'henna', 'oud', 'rosewood balsam', 'benzoin']","SPICES,CITRUS,FLOWERS,GREENS HERBS FOUGERES,RESINS BALSAMS"
527,Chypre-Siam Eau de Toilette,"['oakmoss', 'kaffir lime', 'civet', 'jasmine', 'ylang', 'leather', 'spices', 'holy basil', 'sandalwood', 'benzoin']","WOODS MOSSES,WHITE FLOWERS,CITRUS,RESINS BALSAMS,MUSK AMBER ANIMALIC"
528,Tabac Vert Eau de Toilette,"['tobacco', 'carnation', 'oakmoss', 'sandalwood', 'amber', 'pepper', 'bergamot', 'rose', 'jasmine']","WOODS MOSSES,WHITE FLOWERS,SPICES,CITRUS,FLOWERS,GREENS HERBS FOUGERES,MUSK AMBER ANIMALIC"
529,Mousse Illuminee Eau de Toilette,"['treemoss', 'frankincense', 'green cypress', 'artemisia', 'laurel', 'cedar', 'white floral notes', 'white musk']","GREENS HERBS FOUGERES,WOODS MOSSES,RESINS BALSAMS"
530,40 Rogue Eau de Toilette,"['citrus', 'aldehydes', 'fruity notes', 'basil', 'tarragon', 'carnation', 'rose', 'narcissus', 'oakmoss', 'musk']","WOODS MOSSES,FRUITS VEGETABLES NUTS,NATURAL SYNTHETIC POPULAR WEIRD,CITRUS,FLOWERS,GREENS HERBS FOUGERES,MUSK AMBER ANIMALIC"
531,Derviche Eau de Toilette,"['bergamot', 'labdanum', 'vanilla', 'jasmine', 'olibanum', 'sandalwood', 'musk', 'tobacco leaf', 'leather', 'saffron', 'civet']","WOODS MOSSES,WHITE FLOWERS,SPICES,CITRUS,RESINS BALSAMS,MUSK AMBER ANIMALIC"
532,Radish x Vetiver Eau de Parfum,"['vetiver', 'radish', 'cypriol', 'gaiac']",WOODS MOSSES
533,Chlorophyll x Gardenia Eau de Parfum,"['chlorophyll', 'gardenia']",WHITE FLOWERS
534,Celluloid x Galbanum Eau de Parfum,"['celluloid', 'galbanum']",GREENS HERBS FOUGERES
535,Soleil Neige Eau de Parfum,"['bergamot', 'carrot seed', 'rose', 'jasmine', 'orange blossom', 'white flowers', 'rose', 'labdanum', 'benzoin', 'vanilla click here for ingredients ã\x97close soleil neige by tom ford private blend ingredients please be aware that ingredient lists may change or vary from time to time.  please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.']","WHITE FLOWERS,RESINS BALSAMS,CITRUS,FLOWERS"
536,Wonder Of You Eau de Parfum,"['blackcurrant', 'pink grapefruit', 'freesia', 'watermelon', 'ambrox', 'musk']","FRUITS VEGETABLES NUTS,FLOWERS,MUSK AMBER ANIMALIC"
537,Riviera Drive Eau de Parfum,"['lemon', 'marjoram', 'rosemary', 'cedar leaf', 'absinthe', 'patchouli', 'cashmeran', 'cedar', 'musk']","WOODS MOSSES,BEVERAGES,CITRUS,NATURAL SYNTHETIC POPULAR WEIRD,GREENS HERBS FOUGERES,MUSK AMBER ANIMALIC"
538,Pomelo Riviera Eau de Parfum,"['grapefruit', 'jasmine', 'bergamot', 'orange flower', 'salt accord', 'rose', 'cedarwood']","WOODS MOSSES,CITRUS,WHITE FLOWERS,FLOWERS"
539,Riviera Lazuli Eau de Parfum,"['lemon', 'cypress', 'bergamot', 'clary sage', 'cedar', 'gaiac', 'immortelle', 'fir balsam', 'incense']","GREENS HERBS FOUGERES,WOODS MOSSES,CITRUS,RESINS BALSAMS"
540,Yoyogi Eau de Toilette,"['cypress', 'mown grass', 'chamomile', 'wormwood']","GREENS HERBS FOUGERES,WOODS MOSSES,FLOWERS"
541,Chloe Sevigny Little Flower Eau de Parfum,"['black tea', 'bleeding heart', 'blackcurrant bud', 'peony', 'palo santo', 'pomelo', 'honeysuckle', 'rose absolute', 'musk']","WOODS MOSSES,WHITE FLOWERS,CITRUS,FLOWERS,MUSK AMBER ANIMALIC"
542,Baie 19 Eau de Parfum,"['juniper', 'patchouli', 'ambroxan', 'cade', 'musk']","GREENS HERBS FOUGERES,WOODS MOSSES,MUSK AMBER ANIMALIC"
543,Across The Ocean Eau de Parfum,"['bergamot', 'lemon', 'cashemere wood', 'oud', 'rose', 'tonka', 'gaiac', 'vanilla', 'musk']","SPICES,CITRUS,FLOWERS,MUSK AMBER ANIMALIC"
544,Terrible Teddy Eau de Parfum,"['incense', 'leather', 'ambroxan']","RESINS BALSAMS,MUSK AMBER ANIMALIC"
545,Heartless Helen Eau de Parfum,"['mandarin orange', 'tuberose', 'creamy woods']","CITRUS,WHITE FLOWERS"
546,Plumeria de Orris Extrait de Parfum,"['plumeria absolute', 'natural apricot accord and orris root absolute', 'sandalwood', 'vanilla and synthetic civet', 'myrrh', 'vetiver and cedarwood']","WOODS MOSSES,RESINS BALSAMS"
547,Love Kills Eau de Parfum,"['lychee', 'rose oxide', 'ambrette', 'geranium', 'rose oil absolute', 'green notes', 'patchouli', 'ambrarome', 'immortelle', 'cedar', 'musk']","WOODS MOSSES,NATURAL SYNTHETIC POPULAR WEIRD,FLOWERS,GREENS HERBS FOUGERES,MUSK AMBER ANIMALIC"
548,Oriental Leather Eau de Parfum,"['coriander', 'pimento', 'lavender', 'leather', 'anise', 'geranium', 'cinnamon', 'benzoin', 'patchouli', 'vanilla']","WOODS MOSSES,SPICES,FLOWERS,RESINS BALSAMS,MUSK AMBER ANIMALIC"
549,Rolling in Love Eau de Parfum,"['almond milk', 'iris', 'musk']","FLOWERS,MUSK AMBER ANIMALIC"
550,Ambre Khandjar Eau de Parfum,"['mandarin', 'black plum', 'cistus labdanum aboslute', 'vanilla pod o2', 'orris absolute', 'ylang ylang', 'sandalwood', 'patchouli', 'benzoin resinoid']","WOODS MOSSES,FLOWERS"
551,Jardins de Misfah Eau de Parfum,"['cardamom', 'nutmeg', 'date accord', 'rose absolute', 'rose essence', 'saffron', 'almond']","SPICES,FRUITS VEGETABLES NUTS,FLOWERS"
552,Suma Oriental Eau de Parfum,"['cypriol', 'rum', 'cocoa', 'patchouli', 'sandalwood', 'tonka bean', 'cashmere wood', 'gaiac wood', 'clear wood', 'musk']","BEVERAGES,SPICES,WOODS MOSSES,MUSK AMBER ANIMALIC"
553,Mr. Vetiver Eau de Parfum,"['cardamom', 'grapefruit', 'lime', 'basil', 'tarragon', 'geranium', 'vetiver. piri piri', 'amber wood', 'mosses']","GREENS HERBS FOUGERES,SPICES,CITRUS,FLOWERS"
554,Fleur des Fleurs Eau de Parfum,"['bergamot', 'saffron', 'grapefruit', 'jasmin', 'ylang-ylang', 'tubereuse', 'glycine', 'benzoin tears', 'sandalwood', 'vanilla', 'amber', 'oud wood']","WOODS MOSSES,SPICES,CITRUS,FLOWERS,MUSK AMBER ANIMALIC"
555,Murmure des Dieux Eau de Parfum,"['frangipani', 'almond', 'vanilla', 'musks']","SPICES,FRUITS VEGETABLES NUTS,WHITE FLOWERS,MUSK AMBER ANIMALIC"
556,Bohemian Soul Eau de Parfum,"['artemisia absinthium', 'olibanum', 'guaiac wood', 'iris', 'myrrh', 'musc', 'sandalwood']","WOODS MOSSES,RESINS BALSAMS,FLOWERS"
557,Memory Motel Eau de Parfum,"['bergamot', 'iris', 'incense', 'carnation', 'mosses', 'patchouli', 'vanilla', 'tobacco', 'leather']","WOODS MOSSES,SPICES,CITRUS,FLOWERS,GREENS HERBS FOUGERES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
558,Kalan Eau de Parfum,"['blood orange', 'black pepper', 'lavender', 'solar notes', 'orange blossom absolute', 'moss', 'precious wood']","NATURAL SYNTHETIC POPULAR WEIRD,CITRUS,FLOWERS"
559,Aventus Cologne Eau de Parfum,"['ginger', 'mandarin', 'baie rose', 'patchouli', 'sandalwood', 'vetiver', 'styrax', 'birch', 'musk', 'tonka']","SPICES,WOODS MOSSES,RESINS BALSAMS,MUSK AMBER ANIMALIC"
560,Harem Soiree Parfum,"['ambergris', 'rose', 'myrrh']","RESINS BALSAMS,FLOWERS,MUSK AMBER ANIMALIC"
561,Velvet Rouge,"['cacao pod', 'coffee', 'chili pepper', 'mandarin orange', 'nutmeg', 'vetiver', 'licorice']","SPICES,WOODS MOSSES,CITRUS"
562,Bois Sacre Parfum,"['agarwood (oud)', 'sandalwood', 'labdanum']","WOODS MOSSES,RESINS BALSAMS"
